""	"submission_name"	"submission_date"	"template_name"	"response_component"	"curation_date"	"cohort"	"age_min"	"age_max"	"age_units"	"number_subjects"	"tissue_type"	"tissue_type_term_id"	"response_component_original"	"is_model"	"response_behavior_type"	"response_behavior"	"comparison"	"baseline_time_event"	"time_point"	"time_point_units"	"exposure_material_id"	"additional_exposure_material"	"vaccine_year"	"adjuvant"	"route"	"scheduling"	"publication_reference_id"	"publication_reference_url"	"publication_date"	"signature_source"	"signature_source_url"	"comments"	"response_comp_orig_cnt"	"response_comp_cnt"	"sig_subm_id"	"sig_row_id"	"row_key"	"signature_file"	"signature_file_complete"	"target_pathogen_taxonid_1"	"target_pathogen_taxonid_2"	"target_pathogen_taxonid_3"
"subject"	""	""	""	"gene"	""	""	""	""	""	""	""	"cell_subset"	""	""	""	""	""	""	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"pathogen"	"pathogen"	"pathogen"
"evidence"	"label"	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"file"	"file"	""	""	""
"role"	"background"	"background"	"background"	"gene_biomarker"	"background"	"observed"	"observed"	"observed"	"observed"	"observed"	"background"	"tissue"	"observed"	"background"	"background"	"measured"	"background"	"background"	"observed"	"observed"	"vaccine"	"background"	"background"	"background"	"background"	"background"	"background"	"reference"	"background"	"background"	"background"	"background"	"observed"	"observed"	"background"	"background"	"background"	"observed"	"observed"	"pathogen"	"pathogen"	"pathogen"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	"submission name"	"submission_date"	"template_name"	"response component"	"curation date YYYY-MM-DD "	"Cohort - any characteristics of the population(s) studied, plus whether the result was taken from a subgroup of the broader cohort tested."	"age_min - age of youngest subject including both cases and controls"	"age_max - age of oldest subject including both case and controls"	"age units"	"number of subjects - count of case plus control subjects used in the measurement."	"tissue type"	"tissue (Cell Ontology)"	"response component (original gene symbol)"	"signature was derived from a computational model"	"response behavior type"	"response behavior (direction, correlation type etc.)"	"comparison (affected vs control, correlated variable, time vs baseline event etc.)"	"baseline time event"	"time point relative to baseline event at which response was measured"	"time point units"	"exposure material (vaccine ontology)"	"exposure material - additional"	"vaccine year (influenza only)"	"adjuvant"	"route"	"scheduling"	"publication reference (PMID)"	"Cao et al. (2014) Differences in antibody responses between trivalent inactivated influenza vaccine and live attenuated influenza vaccine correlate with the kinetics and magnitude of interferon signaling in children. J Infect Dis. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909' target='_blank'>24495909</a>"	"print publication date or posted date (YYYY-MM-DD or YYYY)"	"signature source figure, table or text section"	"signature source url"	"comments and additional details"	"response component (original) count"	"response component count"	"sequential ID of signature within a publication (PMID) and for its response_type "	"row ID of signature within its submission data file(s)"	"row key"	"response component (genes) file"	" response components including non-HGNC genes"	"target pathogen 1"	"target pathogen 2"	"target pathogen 3"
""	"hipc_vac_gene_24495909_7"	"2014.02.06"	"hipc_vac_gene_24495909_7"	"STK40"	""	""	"0.5"	"14"	"years"	"37"	"blood"	"UBERON:0000178"	"STK40"	"N"	"gene expression"	"up"	"1d vs 0d"	"time of vaccination"	"1"	"day"	"VO:0000044"	""	"2010"	""	""	""	"24495909"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"2014"	"Suppl Table 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4092249/bin/supp_jiu079_jiu079supp_table1.doc' target='_blank'>supp_jiu079_jiu079supp_table1.doc</a>"	"~80% of cohort were white, ~50/50 Female:male"	"8"	"7"	"7"	"260"	"24495909_7_260"	"hipc_vac_gene_sig_24495909_7.txt"	"hipc_vac_gene_sig_complete_24495909_7.txt"	"1316510"	"654811"	"604436"
""	"hipc_vac_gene_24495909_7"	"2014.02.06"	"hipc_vac_gene_24495909_7"	"DSCC1"	""	""	"0.5"	"14"	"years"	"37"	"blood"	"UBERON:0000178"	"DSCC1"	"N"	"gene expression"	"up"	"1d vs 0d"	"time of vaccination"	"1"	"day"	"VO:0000044"	""	"2010"	""	""	""	"24495909"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"2014"	"Suppl Table 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4092249/bin/supp_jiu079_jiu079supp_table1.doc' target='_blank'>supp_jiu079_jiu079supp_table1.doc</a>"	"~80% of cohort were white, ~50/50 Female:male"	"8"	"7"	"7"	"260"	"24495909_7_260"	"hipc_vac_gene_sig_24495909_7.txt"	"hipc_vac_gene_sig_complete_24495909_7.txt"	"1316510"	"654811"	"604436"
""	"hipc_vac_gene_24495909_7"	"2014.02.06"	"hipc_vac_gene_24495909_7"	"FLVCR1"	""	""	"0.5"	"14"	"years"	"37"	"blood"	"UBERON:0000178"	"FLVCR1"	"N"	"gene expression"	"up"	"1d vs 0d"	"time of vaccination"	"1"	"day"	"VO:0000044"	""	"2010"	""	""	""	"24495909"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"2014"	"Suppl Table 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4092249/bin/supp_jiu079_jiu079supp_table1.doc' target='_blank'>supp_jiu079_jiu079supp_table1.doc</a>"	"~80% of cohort were white, ~50/50 Female:male"	"8"	"7"	"7"	"260"	"24495909_7_260"	"hipc_vac_gene_sig_24495909_7.txt"	"hipc_vac_gene_sig_complete_24495909_7.txt"	"1316510"	"654811"	"604436"
""	"hipc_vac_gene_24495909_7"	"2014.02.06"	"hipc_vac_gene_24495909_7"	"TRAPPC6B"	""	""	"0.5"	"14"	"years"	"37"	"blood"	"UBERON:0000178"	"TRAPPC6B"	"N"	"gene expression"	"up"	"1d vs 0d"	"time of vaccination"	"1"	"day"	"VO:0000044"	""	"2010"	""	""	""	"24495909"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"2014"	"Suppl Table 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4092249/bin/supp_jiu079_jiu079supp_table1.doc' target='_blank'>supp_jiu079_jiu079supp_table1.doc</a>"	"~80% of cohort were white, ~50/50 Female:male"	"8"	"7"	"7"	"260"	"24495909_7_260"	"hipc_vac_gene_sig_24495909_7.txt"	"hipc_vac_gene_sig_complete_24495909_7.txt"	"1316510"	"654811"	"604436"
""	"hipc_vac_gene_24495909_7"	"2014.02.06"	"hipc_vac_gene_24495909_7"	"URB1"	""	""	"0.5"	"14"	"years"	"37"	"blood"	"UBERON:0000178"	"URB1"	"N"	"gene expression"	"up"	"1d vs 0d"	"time of vaccination"	"1"	"day"	"VO:0000044"	""	"2010"	""	""	""	"24495909"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"2014"	"Suppl Table 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4092249/bin/supp_jiu079_jiu079supp_table1.doc' target='_blank'>supp_jiu079_jiu079supp_table1.doc</a>"	"~80% of cohort were white, ~50/50 Female:male"	"8"	"7"	"7"	"260"	"24495909_7_260"	"hipc_vac_gene_sig_24495909_7.txt"	"hipc_vac_gene_sig_complete_24495909_7.txt"	"1316510"	"654811"	"604436"
""	"hipc_vac_gene_24495909_7"	"2014.02.06"	"hipc_vac_gene_24495909_7"	"CPT1A"	""	""	"0.5"	"14"	"years"	"37"	"blood"	"UBERON:0000178"	"CPT1A"	"N"	"gene expression"	"up"	"1d vs 0d"	"time of vaccination"	"1"	"day"	"VO:0000044"	""	"2010"	""	""	""	"24495909"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"2014"	"Suppl Table 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4092249/bin/supp_jiu079_jiu079supp_table1.doc' target='_blank'>supp_jiu079_jiu079supp_table1.doc</a>"	"~80% of cohort were white, ~50/50 Female:male"	"8"	"7"	"7"	"260"	"24495909_7_260"	"hipc_vac_gene_sig_24495909_7.txt"	"hipc_vac_gene_sig_complete_24495909_7.txt"	"1316510"	"654811"	"604436"
""	"hipc_vac_gene_24495909_7"	"2014.02.06"	"hipc_vac_gene_24495909_7"	"CHTF8"	""	""	"0.5"	"14"	"years"	"37"	"blood"	"UBERON:0000178"	"CHTF8"	"N"	"gene expression"	"up"	"1d vs 0d"	"time of vaccination"	"1"	"day"	"VO:0000044"	""	"2010"	""	""	""	"24495909"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"2014"	"Suppl Table 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4092249/bin/supp_jiu079_jiu079supp_table1.doc' target='_blank'>supp_jiu079_jiu079supp_table1.doc</a>"	"~80% of cohort were white, ~50/50 Female:male"	"8"	"7"	"7"	"260"	"24495909_7_260"	"hipc_vac_gene_sig_24495909_7.txt"	"hipc_vac_gene_sig_complete_24495909_7.txt"	"1316510"	"654811"	"604436"
