""	"submission_name"	"submission_date"	"template_name"	"response_component"	"curation_date"	"cohort"	"age_min"	"age_max"	"age_units"	"number_subjects"	"tissue_type"	"tissue_type_term_id"	"response_component_original"	"is_model"	"response_behavior_type"	"response_behavior"	"comparison"	"baseline_time_event"	"time_point"	"time_point_units"	"exposure_material_id"	"additional_exposure_material"	"target_pathogen_taxonid"	"vaccine_year"	"adjuvant"	"route"	"scheduling"	"publication_reference_id"	"publication_date"	"publication_reference_url"	"signature_source"	"signature_source_url"	"comments"	"response_comp_orig_cnt"	"response_comp_cnt"	"sig_subm_id"	"sig_row_id"	"row_key"	"signature_file"	"signature_file_complete"
"subject"	""	""	""	"gene"	""	""	""	""	""	""	""	"cell_subset"	""	""	""	""	""	""	""	""	"vaccine"	""	"pathogen"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"evidence"	"label"	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"file"	"file"
"role"	"background"	"background"	"background"	"gene_biomarker"	"background"	"observed"	"observed"	"observed"	"observed"	"observed"	"background"	"tissue"	"observed"	"background"	"background"	"measured"	"background"	"background"	"observed"	"observed"	"vaccine"	"background"	"pathogen"	"background"	"background"	"background"	"background"	"background"	"background"	"reference"	"background"	"background"	"background"	"observed"	"observed"	"background"	"background"	"background"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	"submission name"	"submission_date"	"template_name"	"response component"	"curation date YYYY-MM-DD "	"Cohort - any characteristics of the population(s) studied, plus whether the result was taken from a subgroup of the broader cohort tested."	"age_min - age of youngest subject including both cases and controls"	"age_max - age of oldest subject including both case and controls"	"age units"	"number of subjects - count of case plus control subjects used in the measurement."	"tissue type"	"tissue (Cell Ontology)"	"response component (original gene symbol)"	"signature was derived from a computational model"	"response behavior type"	"response behavior (direction, correlation type etc.)"	"comparison (affected vs control, correlated variable, time vs baseline event etc.)"	"baseline time event"	"time point relative to baseline event at which response was measured"	"time point units"	"exposure material (vaccine ontology)"	"exposure material - additional"	"target pathogen (NCBI TaxID)"	"vaccine year (influenza only)"	"adjuvant"	"route"	"scheduling"	"publication reference (PMID)"	"print publication date or posted date (YYYY-MM-DD or YYYY)"	"Qiu et al. (2018) Significant transcriptome and cytokine changes in hepatitis B vaccine non-responders revealed by genome-wide comparative analysis. Hum Vaccin Immunother. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=29580160' target='_blank'>29580160</a>"	"signature source figure, table or text section"	"signature source url"	"comments and additional details"	"response component (original) count"	"response component count"	"sequential ID of signature within a publication (PMID) and for its response_type "	"row ID of signature within its submission data file(s)"	"row key"	"response component (genes) file"	" response components including non-HGNC genes"
""	"hipc_vac_gene_29580160_8"	"2018.03.28"	"hipc_vac_gene_29580160_8"	"DEFA1B"	""	""	""	"50"	"years"	"14"	"peripheral blood mononuclear cell"	"CL:2000001"	"DEFA1B"	"N"	"gene expression"	"up"	"non-responders vs responders"	"time of vaccination"	"28"	"days"	"VO:0003150"	""	"10407"	""	""	""	""	"29580160"	"2018"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6067885/"	"Suppl Table 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6067885/bin/khvi-14-07-1450122-s001.xlsx' target='_blank'>khvi-14-07-1450122-s001.xlsx</a>"	""	"17"	"17"	"8"	"426"	"29580160_8_426"	"hipc_vac_gene_sig_29580160_8.txt"	"hipc_vac_gene_sig_complete_29580160_8.txt"
""	"hipc_vac_gene_29580160_8"	"2018.03.28"	"hipc_vac_gene_29580160_8"	"DEFA4"	""	""	""	"50"	"years"	"14"	"peripheral blood mononuclear cell"	"CL:2000001"	"DEFA4"	"N"	"gene expression"	"up"	"non-responders vs responders"	"time of vaccination"	"28"	"days"	"VO:0003150"	""	"10407"	""	""	""	""	"29580160"	"2018"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6067885/"	"Suppl Table 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6067885/bin/khvi-14-07-1450122-s001.xlsx' target='_blank'>khvi-14-07-1450122-s001.xlsx</a>"	""	"17"	"17"	"8"	"426"	"29580160_8_426"	"hipc_vac_gene_sig_29580160_8.txt"	"hipc_vac_gene_sig_complete_29580160_8.txt"
""	"hipc_vac_gene_29580160_8"	"2018.03.28"	"hipc_vac_gene_29580160_8"	"CEACAM8"	""	""	""	"50"	"years"	"14"	"peripheral blood mononuclear cell"	"CL:2000001"	"CEACAM8"	"N"	"gene expression"	"up"	"non-responders vs responders"	"time of vaccination"	"28"	"days"	"VO:0003150"	""	"10407"	""	""	""	""	"29580160"	"2018"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6067885/"	"Suppl Table 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6067885/bin/khvi-14-07-1450122-s001.xlsx' target='_blank'>khvi-14-07-1450122-s001.xlsx</a>"	""	"17"	"17"	"8"	"426"	"29580160_8_426"	"hipc_vac_gene_sig_29580160_8.txt"	"hipc_vac_gene_sig_complete_29580160_8.txt"
""	"hipc_vac_gene_29580160_8"	"2018.03.28"	"hipc_vac_gene_29580160_8"	"DLX4"	""	""	""	"50"	"years"	"14"	"peripheral blood mononuclear cell"	"CL:2000001"	"BP1"	"N"	"gene expression"	"up"	"non-responders vs responders"	"time of vaccination"	"28"	"days"	"VO:0003150"	""	"10407"	""	""	""	""	"29580160"	"2018"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6067885/"	"Suppl Table 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6067885/bin/khvi-14-07-1450122-s001.xlsx' target='_blank'>khvi-14-07-1450122-s001.xlsx</a>"	""	"17"	"17"	"8"	"426"	"29580160_8_426"	"hipc_vac_gene_sig_29580160_8.txt"	"hipc_vac_gene_sig_complete_29580160_8.txt"
