""	"submission_name"	"submission_date"	"template_name"	"response_component"	"curation_date"	"cohort"	"age_min"	"age_max"	"age_units"	"number_subjects"	"tissue_type"	"tissue_type_term_id"	"response_component_original"	"is_model"	"response_behavior_type"	"response_behavior"	"comparison"	"baseline_time_event"	"time_point"	"time_point_units"	"exposure_material_id"	"additional_exposure_material"	"target_pathogen_taxonid"	"vaccine_year"	"adjuvant"	"route"	"scheduling"	"publication_reference_id"	"publication_date"	"publication_reference_url"	"signature_source"	"signature_source_url"	"comments"	"response_comp_orig_cnt"	"response_comp_cnt"	"sig_subm_id"	"sig_row_id"	"row_key"	"signature_file"	"signature_file_complete"
"subject"	""	""	""	"gene"	""	""	""	""	""	""	""	"cell_subset"	""	""	""	""	""	""	""	""	"vaccine"	""	"pathogen"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"evidence"	"label"	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"file"	"file"
"role"	"background"	"background"	"background"	"gene_biomarker"	"background"	"observed"	"observed"	"observed"	"observed"	"observed"	"background"	"tissue"	"observed"	"background"	"background"	"measured"	"background"	"background"	"observed"	"observed"	"vaccine"	"background"	"pathogen"	"background"	"background"	"background"	"background"	"background"	"background"	"reference"	"background"	"background"	"background"	"observed"	"observed"	"background"	"background"	"background"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	"submission name"	"submission_date"	"template_name"	"response component"	"curation date YYYY-MM-DD "	"Cohort - any characteristics of the population(s) studied, plus whether the result was taken from a subgroup of the broader cohort tested."	"age_min - age of youngest subject including both cases and controls"	"age_max - age of oldest subject including both case and controls"	"age units"	"number of subjects - count of case plus control subjects used in the measurement."	"tissue type"	"tissue (Cell Ontology)"	"response component (original gene symbol)"	"signature was derived from a computational model"	"response behavior type"	"response behavior (direction, correlation type etc.)"	"comparison (affected vs control, correlated variable, time vs baseline event etc.)"	"baseline time event"	"time point relative to baseline event at which response was measured"	"time point units"	"exposure material (vaccine ontology)"	"exposure material - additional"	"target pathogen (NCBI TaxID)"	"vaccine year (influenza only)"	"adjuvant"	"route"	"scheduling"	"publication reference (PMID)"	"print publication date or posted date (YYYY-MM-DD or YYYY)"	"Hoft et al. (2018) PO and ID BCG vaccination in humans induce distinct mucosal and systemic immune responses and CD4+ T cell transcriptomal molecular signatures. Mucosal Immunol. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=28853442' target='_blank'>28853442</a>"	"signature source figure, table or text section"	"signature source url"	"comments and additional details"	"response component (original) count"	"response component count"	"sequential ID of signature within a publication (PMID) and for its response_type "	"row ID of signature within its submission data file(s)"	"row key"	"response component (genes) file"	" response components including non-HGNC genes"
""	"hipc_vac_gene_28853442_1"	"2017.08.31"	"hipc_vac_gene_28853442_1"	"TMSB4X"	""	""	"18"	"45"	"years"	"68"	"CD4-positive, alpha-beta memory T cell"	"CL:0000897"	"TMSB4X"	"N"	"gene expression"	"down"	"7d vs 0d"	"time of vaccination"	"7"	"days"	"VO:0000771"	""	"1773"	""	""	"oral"	""	"28853442"	"2018"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5832504/"	"Fig 6A (PO)"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5832504/figure/F6/' target='_blank'>figure/F6</a>"	"top 100 most significantly altered genes comparing Day 0 and Day 7 responses directly ex vivo"	"7"	"7"	"1"	"468"	"28853442_1_468"	"hipc_vac_gene_sig_28853442_1.txt"	"hipc_vac_gene_sig_complete_28853442_1.txt"
""	"hipc_vac_gene_28853442_1"	"2017.08.31"	"hipc_vac_gene_28853442_1"	"TMEM191A"	""	""	"18"	"45"	"years"	"68"	"CD4-positive, alpha-beta memory T cell"	"CL:0000897"	"TMEM191A"	"N"	"gene expression"	"down"	"7d vs 0d"	"time of vaccination"	"7"	"days"	"VO:0000771"	""	"1773"	""	""	"oral"	""	"28853442"	"2018"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5832504/"	"Fig 6A (PO)"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5832504/figure/F6/' target='_blank'>figure/F6</a>"	"top 100 most significantly altered genes comparing Day 0 and Day 7 responses directly ex vivo"	"7"	"7"	"1"	"468"	"28853442_1_468"	"hipc_vac_gene_sig_28853442_1.txt"	"hipc_vac_gene_sig_complete_28853442_1.txt"
""	"hipc_vac_gene_28853442_1"	"2017.08.31"	"hipc_vac_gene_28853442_1"	"C9orf85"	""	""	"18"	"45"	"years"	"68"	"CD4-positive, alpha-beta memory T cell"	"CL:0000897"	"C9orf85"	"N"	"gene expression"	"down"	"7d vs 0d"	"time of vaccination"	"7"	"days"	"VO:0000771"	""	"1773"	""	""	"oral"	""	"28853442"	"2018"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5832504/"	"Fig 6A (PO)"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5832504/figure/F6/' target='_blank'>figure/F6</a>"	"top 100 most significantly altered genes comparing Day 0 and Day 7 responses directly ex vivo"	"7"	"7"	"1"	"468"	"28853442_1_468"	"hipc_vac_gene_sig_28853442_1.txt"	"hipc_vac_gene_sig_complete_28853442_1.txt"
""	"hipc_vac_gene_28853442_1"	"2017.08.31"	"hipc_vac_gene_28853442_1"	"HSPE1"	""	""	"18"	"45"	"years"	"68"	"CD4-positive, alpha-beta memory T cell"	"CL:0000897"	"HSPE1"	"N"	"gene expression"	"down"	"7d vs 0d"	"time of vaccination"	"7"	"days"	"VO:0000771"	""	"1773"	""	""	"oral"	""	"28853442"	"2018"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5832504/"	"Fig 6A (PO)"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5832504/figure/F6/' target='_blank'>figure/F6</a>"	"top 100 most significantly altered genes comparing Day 0 and Day 7 responses directly ex vivo"	"7"	"7"	"1"	"468"	"28853442_1_468"	"hipc_vac_gene_sig_28853442_1.txt"	"hipc_vac_gene_sig_complete_28853442_1.txt"
