""	"submission_name"	"submission_date"	"template_name"	"response_component"	"curation_date"	"cohort"	"age_min"	"age_max"	"age_units"	"number_subjects"	"tissue_type"	"tissue_type_term_id"	"response_component_original"	"is_model"	"response_behavior_type"	"response_behavior"	"comparison"	"baseline_time_event"	"time_point"	"time_point_units"	"additional_exposure_material"	"vaccine_year"	"adjuvant"	"route"	"scheduling"	"publication_reference_id"	"publication_date"	"publication_reference_url"	"signature_source"	"signature_source_url"	"comments"	"response_comp_orig_cnt"	"response_comp_cnt"	"sig_subm_id"	"sig_row_id"	"row_key"	"signature_file"	"signature_file_complete"	"exposure_material_id_1"	"exposure_material_id_2"	"target_pathogen_taxonid_1"	"target_pathogen_taxonid_2"	"target_pathogen_taxonid_3"
"subject"	""	""	""	"gene"	""	""	""	""	""	""	""	"cell_subset"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"vaccine"	"vaccine"	"pathogen"	"pathogen"	"pathogen"
"evidence"	"label"	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"file"	"file"	""	""	""	""	""
"role"	"background"	"background"	"background"	"gene_biomarker"	"background"	"observed"	"observed"	"observed"	"observed"	"observed"	"background"	"tissue"	"observed"	"background"	"background"	"measured"	"background"	"background"	"observed"	"observed"	"background"	"background"	"background"	"background"	"background"	"background"	"background"	"reference"	"background"	"background"	"background"	"observed"	"observed"	"background"	"background"	"background"	"observed"	"observed"	"vaccine"	"vaccine"	"pathogen"	"pathogen"	"pathogen"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	"submission name"	"submission_date"	"template_name"	"response component"	"curation date YYYY-MM-DD "	"Cohort - any characteristics of the population(s) studied, plus whether the result was taken from a subgroup of the broader cohort tested."	"age_min - age of youngest subject including both cases and controls"	"age_max - age of oldest subject including both case and controls"	"age units"	"number of subjects - count of case plus control subjects used in the measurement."	"tissue type"	"tissue (Cell Ontology)"	"response component (original gene symbol)"	"signature was derived from a computational model"	"response behavior type"	"response behavior (direction, correlation type etc.)"	"comparison (affected vs control, correlated variable, time vs baseline event etc.)"	"baseline time event"	"time point relative to baseline event at which response was measured"	"time point units"	"exposure material - additional"	"vaccine year (influenza only)"	"adjuvant"	"route"	"scheduling"	"publication reference (PMID)"	"print publication date or posted date (YYYY-MM-DD or YYYY)"	"Cole et al. (2017) Differential gene expression elicited by children in response to the 2015-16 live attenuated versus inactivated influenza vaccine. Vaccine. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=29132989' target='_blank'>29132989</a>"	"signature source figure, table or text section"	"signature source url"	"comments and additional details"	"response component (original) count"	"response component count"	"sequential ID of signature within a publication (PMID) and for its response_type "	"row ID of signature within its submission data file(s)"	"row key"	"response component (genes) file"	" response components including non-HGNC genes"	"exposure material 1"	"exposure material 2"	"target pathogen 1"	"target pathogen 2"	"target pathogen 3"
""	"hipc_vac_gene_29132989_1"	"2017.11.15"	"hipc_vac_gene_29132989_1"	"IL4"	""	""	"3"	"17"	"years"	"46"	"whole blood"	"UBERON:0000178"	"IL4"	"N"	"gene expression"	"down"	"7d vs 0d"	"time of vaccination"	"7"	"days"	""	"2015"	""	""	""	"29132989"	"2017"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5711596/"	"Fig 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5711596/figure/F1/' target='_blank'>figure/F1</a>"	"IIV (inactivated influenza vaccine)"	"7"	"7"	"1"	"387"	"29132989_1_387"	"hipc_vac_gene_sig_29132989_1.txt"	"hipc_vac_gene_sig_complete_29132989_1.txt"	"VO:0000047"	"VO:0000045"	"1316510"	"119210"	"11520"
""	"hipc_vac_gene_29132989_1"	"2017.11.15"	"hipc_vac_gene_29132989_1"	"CXCL8"	""	""	"3"	"17"	"years"	"46"	"whole blood"	"UBERON:0000178"	"IL8"	"N"	"gene expression"	"down"	"7d vs 0d"	"time of vaccination"	"7"	"days"	""	"2015"	""	""	""	"29132989"	"2017"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5711596/"	"Fig 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5711596/figure/F1/' target='_blank'>figure/F1</a>"	"IIV (inactivated influenza vaccine)"	"7"	"7"	"1"	"387"	"29132989_1_387"	"hipc_vac_gene_sig_29132989_1.txt"	"hipc_vac_gene_sig_complete_29132989_1.txt"	"VO:0000047"	"VO:0000045"	"1316510"	"119210"	"11520"
""	"hipc_vac_gene_29132989_1"	"2017.11.15"	"hipc_vac_gene_29132989_1"	"CCL2"	""	""	"3"	"17"	"years"	"46"	"whole blood"	"UBERON:0000178"	"CCL2"	"N"	"gene expression"	"down"	"7d vs 0d"	"time of vaccination"	"7"	"days"	""	"2015"	""	""	""	"29132989"	"2017"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5711596/"	"Fig 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5711596/figure/F1/' target='_blank'>figure/F1</a>"	"IIV (inactivated influenza vaccine)"	"7"	"7"	"1"	"387"	"29132989_1_387"	"hipc_vac_gene_sig_29132989_1.txt"	"hipc_vac_gene_sig_complete_29132989_1.txt"	"VO:0000047"	"VO:0000045"	"1316510"	"119210"	"11520"
""	"hipc_vac_gene_29132989_1"	"2017.11.15"	"hipc_vac_gene_29132989_1"	"IFNA1"	""	""	"3"	"17"	"years"	"46"	"whole blood"	"UBERON:0000178"	"IFNA1"	"N"	"gene expression"	"down"	"7d vs 0d"	"time of vaccination"	"7"	"days"	""	"2015"	""	""	""	"29132989"	"2017"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5711596/"	"Fig 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5711596/figure/F1/' target='_blank'>figure/F1</a>"	"IIV (inactivated influenza vaccine)"	"7"	"7"	"1"	"387"	"29132989_1_387"	"hipc_vac_gene_sig_29132989_1.txt"	"hipc_vac_gene_sig_complete_29132989_1.txt"	"VO:0000047"	"VO:0000045"	"1316510"	"119210"	"11520"
""	"hipc_vac_gene_29132989_1"	"2017.11.15"	"hipc_vac_gene_29132989_1"	"IL12B"	""	""	"3"	"17"	"years"	"46"	"whole blood"	"UBERON:0000178"	"IL12B"	"N"	"gene expression"	"down"	"7d vs 0d"	"time of vaccination"	"7"	"days"	""	"2015"	""	""	""	"29132989"	"2017"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5711596/"	"Fig 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5711596/figure/F1/' target='_blank'>figure/F1</a>"	"IIV (inactivated influenza vaccine)"	"7"	"7"	"1"	"387"	"29132989_1_387"	"hipc_vac_gene_sig_29132989_1.txt"	"hipc_vac_gene_sig_complete_29132989_1.txt"	"VO:0000047"	"VO:0000045"	"1316510"	"119210"	"11520"
""	"hipc_vac_gene_29132989_1"	"2017.11.15"	"hipc_vac_gene_29132989_1"	"CCL7"	""	""	"3"	"17"	"years"	"46"	"whole blood"	"UBERON:0000178"	"CCL7"	"N"	"gene expression"	"down"	"7d vs 0d"	"time of vaccination"	"7"	"days"	""	"2015"	""	""	""	"29132989"	"2017"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5711596/"	"Fig 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5711596/figure/F1/' target='_blank'>figure/F1</a>"	"IIV (inactivated influenza vaccine)"	"7"	"7"	"1"	"387"	"29132989_1_387"	"hipc_vac_gene_sig_29132989_1.txt"	"hipc_vac_gene_sig_complete_29132989_1.txt"	"VO:0000047"	"VO:0000045"	"1316510"	"119210"	"11520"
""	"hipc_vac_gene_29132989_1"	"2017.11.15"	"hipc_vac_gene_29132989_1"	"CXCR4"	""	""	"3"	"17"	"years"	"46"	"whole blood"	"UBERON:0000178"	"CXCR4"	"N"	"gene expression"	"down"	"7d vs 0d"	"time of vaccination"	"7"	"days"	""	"2015"	""	""	""	"29132989"	"2017"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5711596/"	"Fig 1"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5711596/figure/F1/' target='_blank'>figure/F1</a>"	"IIV (inactivated influenza vaccine)"	"7"	"7"	"1"	"387"	"29132989_1_387"	"hipc_vac_gene_sig_29132989_1.txt"	"hipc_vac_gene_sig_complete_29132989_1.txt"	"VO:0000047"	"VO:0000045"	"1316510"	"119210"	"11520"
