""	"submission_name"	"submission_date"	"template_name"	"response_component"	"curation_date"	"cohort"	"age_min"	"age_max"	"age_units"	"number_subjects"	"tissue_type"	"tissue_type_term_id"	"response_component_original"	"is_model"	"response_behavior_type"	"response_behavior"	"comparison"	"baseline_time_event"	"time_point"	"time_point_units"	"exposure_material_id"	"additional_exposure_material"	"target_pathogen_taxonid"	"vaccine_year"	"adjuvant"	"route"	"scheduling"	"publication_reference_id"	"publication_reference_url"	"publication_date"	"signature_source"	"signature_source_url"	"comments"	"response_comp_orig_cnt"	"response_comp_cnt"	"sig_subm_id"	"sig_row_id"	"row_key"	"signature_file"	"signature_file_complete"
"subject"	""	""	""	"gene"	""	""	""	""	""	""	""	"cell_subset"	""	""	""	""	""	""	""	""	"vaccine"	""	"pathogen"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"evidence"	"label"	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	""	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"file"	"file"
"role"	"background"	"background"	"background"	"gene_biomarker"	"background"	"observed"	"observed"	"observed"	"observed"	"observed"	"background"	"tissue"	"observed"	"background"	"background"	"measured"	"background"	"background"	"observed"	"observed"	"vaccine"	"background"	"pathogen"	"background"	"background"	"background"	"background"	"background"	"reference"	"background"	"background"	"background"	"background"	"observed"	"observed"	"background"	"background"	"background"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	"submission name"	"submission_date"	"template_name"	"response component"	"curation date YYYY-MM-DD "	"Cohort - any characteristics of the population(s) studied, plus whether the result was taken from a subgroup of the broader cohort tested."	"age_min - age of youngest subject including both cases and controls"	"age_max - age of oldest subject including both case and controls"	"age units"	"number of subjects - count of case plus control subjects used in the measurement."	"tissue type"	"tissue (Cell Ontology)"	"response component (original gene symbol)"	"signature was derived from a computational model"	"response behavior type"	"response behavior (direction, correlation type etc.)"	"comparison (affected vs control, correlated variable, time vs baseline event etc.)"	"baseline time event"	"time point relative to baseline event at which response was measured"	"time point units"	"exposure material (vaccine ontology)"	"exposure material - additional"	"target pathogen (NCBI TaxID)"	"vaccine year (influenza only)"	"adjuvant"	"route"	"scheduling"	"publication reference (PMID)"	"Qi et al. (2016) Diversification of the antigen-specific T cell receptor repertoire after varicella zoster vaccination. Sci Transl Med. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=27030598' target='_blank'>27030598</a>"	"print publication date or posted date (YYYY-MM-DD or YYYY)"	"signature source figure, table or text section"	"signature source url"	"comments and additional details"	"response component (original) count"	"response component count"	"sequential ID of signature within a publication (PMID) and for its response_type "	"row ID of signature within its submission data file(s)"	"row key"	"response component (genes) file"	" response components including non-HGNC genes"
""	"hipc_vac_gene_27030598_1"	"2016.04.01"	"hipc_vac_gene_27030598_1"	"TRBV5-4"	""	""	"52"	"75"	"years"	""	"naive T cell"	"CL:0000898"	"TRBV5-4"	"N"	"gene expression"	"up"	"CD4-positive T cell vs naive CD4-positive T cell"	"time of vaccination"	"7 to 9"	"days"	"VO:0000124"	""	"10335"	""	""	""	""	"27030598"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27030598"	"2016"	"Table S3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4878824/bin/NIHMS784868-supplement-Supplemental_Text_and_Figures.pdf' target='_blank'>supplement-Supplemental_Text_and_Figures.pdf</a>"	"Table S3. BV and BJ gene segment usage in VZV-reactive CD4 T cells compared to naive and memory CD4 T cells (FDR <= 0.1)."	"7"	"7"	"1"	"310"	"27030598_1_310"	"hipc_vac_gene_sig_27030598_1.txt"	"hipc_vac_gene_sig_complete_27030598_1.txt"
""	"hipc_vac_gene_27030598_1"	"2016.04.01"	"hipc_vac_gene_27030598_1"	"TRBV5-5"	""	""	"52"	"75"	"years"	""	"naive T cell"	"CL:0000898"	"TRBV5-5"	"N"	"gene expression"	"up"	"CD4-positive T cell vs naive CD4-positive T cell"	"time of vaccination"	"7 to 9"	"days"	"VO:0000124"	""	"10335"	""	""	""	""	"27030598"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27030598"	"2016"	"Table S3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4878824/bin/NIHMS784868-supplement-Supplemental_Text_and_Figures.pdf' target='_blank'>supplement-Supplemental_Text_and_Figures.pdf</a>"	"Table S3. BV and BJ gene segment usage in VZV-reactive CD4 T cells compared to naive and memory CD4 T cells (FDR <= 0.1)."	"7"	"7"	"1"	"310"	"27030598_1_310"	"hipc_vac_gene_sig_27030598_1.txt"	"hipc_vac_gene_sig_complete_27030598_1.txt"
""	"hipc_vac_gene_27030598_1"	"2016.04.01"	"hipc_vac_gene_27030598_1"	"TRBV5-8"	""	""	"52"	"75"	"years"	""	"naive T cell"	"CL:0000898"	"TRBV5-8"	"N"	"gene expression"	"up"	"CD4-positive T cell vs naive CD4-positive T cell"	"time of vaccination"	"7 to 9"	"days"	"VO:0000124"	""	"10335"	""	""	""	""	"27030598"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27030598"	"2016"	"Table S3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4878824/bin/NIHMS784868-supplement-Supplemental_Text_and_Figures.pdf' target='_blank'>supplement-Supplemental_Text_and_Figures.pdf</a>"	"Table S3. BV and BJ gene segment usage in VZV-reactive CD4 T cells compared to naive and memory CD4 T cells (FDR <= 0.1)."	"7"	"7"	"1"	"310"	"27030598_1_310"	"hipc_vac_gene_sig_27030598_1.txt"	"hipc_vac_gene_sig_complete_27030598_1.txt"
""	"hipc_vac_gene_27030598_1"	"2016.04.01"	"hipc_vac_gene_27030598_1"	"TRBV6-1"	""	""	"52"	"75"	"years"	""	"naive T cell"	"CL:0000898"	"TRBV6-1"	"N"	"gene expression"	"up"	"CD4-positive T cell vs naive CD4-positive T cell"	"time of vaccination"	"7 to 9"	"days"	"VO:0000124"	""	"10335"	""	""	""	""	"27030598"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27030598"	"2016"	"Table S3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4878824/bin/NIHMS784868-supplement-Supplemental_Text_and_Figures.pdf' target='_blank'>supplement-Supplemental_Text_and_Figures.pdf</a>"	"Table S3. BV and BJ gene segment usage in VZV-reactive CD4 T cells compared to naive and memory CD4 T cells (FDR <= 0.1)."	"7"	"7"	"1"	"310"	"27030598_1_310"	"hipc_vac_gene_sig_27030598_1.txt"	"hipc_vac_gene_sig_complete_27030598_1.txt"
