""	"submission_name"	"submission_date"	"template_name"	"response_component"	"curation_date"	"cohort"	"age_min"	"age_max"	"age_units"	"number_subjects"	"tissue_type"	"tissue_type_term_id"	"method"	"response_component_original"	"is_model"	"response_behavior_type"	"response_behavior"	"comparison"	"baseline_time_event"	"time_point"	"time_point_units"	"exposure_material_id"	"exposure_process"	"disease_name"	"disease_stage"	"publication_reference_id"	"publication_date"	"publication_reference_url"	"signature_source"	"comments"	"response_component_id"	"proterm_and_extra"	"pro_ontology_id"	"fully_qualified_response_component"	"response_comp_orig_cnt"	"response_comp_cnt"	"sig_subm_id"	"sig_row_id"	"row_key"	"signature_file"
"subject"	""	""	""	""	""	""	""	""	""	""	""	"cell_subset"	""	""	""	""	""	""	""	""	""	"pathogen"	""	""	""	""	""	""	""	""	"cell_subset"	""	""	""	""	""	""	""	""	""
"evidence"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"file"
"role"	"background"	"background"	"background"	"observed"	"background"	"observed"	"observed"	"observed"	"observed"	"observed"	"background"	"tissue"	"background"	"observed"	"background"	"background"	"measured"	"background"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"observed"	"background"	"background"	"reference"	"background"	"background"	"cell_biomarker"	"observed"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"background"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"descriptive text on Dashboard"	"submission name"	"submission_date"	"template_name"	"response component name"	"curation date YYYY-MM-DD"	"cohort - any characteristics of the population(s) studied, plus whether the result was taken from a subgroup of the broader cohort tested"	"age_min - age of youngest subject including both cases and controls"	"age_max - age of oldest subject including both case and controls"	"age units"	"number of subjects - count of case plus control subjects used in the measurement."	"tissue type"	"tissue (Cell Ontology)"	"method - primary experimental method used to measure the response"	"response component (original curated cell type)"	"signature was derived from a computational model"	"response behavior type"	"response behavior (direction, correlation type etc.)"	"comparison (affected vs control, correlated variable, time vs baseline event etc.)"	"baseline time event"	"time point relative to baseline event at which response was measured"	"time point units"	"exposure material (NCBI taxid)"	"exposure process - method by which immune exposure  occurred"	"disease name"	"disease stage - reported disease stage(s) of affected subjects"	"publication reference (PMID)"	"print publication date or posted date (YYYY-MM-DD)"	"Arunachalam et al. (2020) Systems biological assessment of immunity to mild versus severe COVID-19 infection in humans. Science. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=32788292' target='_blank'>32788292</a>"	"signature source - figure, table or text section"	"comments and additional details"	"response component"	"response component protein ontology and extra terms"	"response component marker protein ontology ID"	"response component (fully qualified)"	"response component (original) count"	"response component count"	"sequential ID of signature within a publication (PMID) and for its response_type "	"row ID of signature within its submission data file(s)"	"row key"	"response component (cell types) file"
""	"hipc_inf_ctf_32788292_22"	"2020.08.14"	"hipc_inf_ctf_32788292_22"	"monocyte"	"2021-02-16"	"COVID-19 infected patients and age/sex-matched healthy controls (from Atlanta, Georgia)"	"23"	"94"	"years"	"31"	"Peripheral Blood Mononuclear Cells (PBMCs)"	"CL:2000001"	"flow cytometry of peripheral blood leukocytes ex vivo stimulated with viral cocktail (polyIC + R848)"	"IL-1B CD14+ monocytes"	""	"cell-type frequency"	"down"	"patients (N=14) vs healthy (N=17), in response to stimulation by viral cocktail (polyIC + R848)"	"time of clinical onset"	"various"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32788292"	"2020-08-11"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/"	"Fig S5."	"-Shows % of CD14+ monocytes producing cytokines. healthy: samples from asymptomatic adults before widespread SARS-CoV-2 circulation in the community. COVID-19 patients ""according to WHO guidance and positive SARS-CoV-2 RT-PCR testing by nasopharyn..."	"CL_0000576"	"(IL1B+)"	"PR:000001136"	"monocyte (IL1B+)"	"5"	"5"	"22"	"234"	"32788292_22_234"	"hipc_inf_ctf_sig_32788292_22.txt"
""	"hipc_inf_ctf_32788292_22"	"2020.08.14"	"hipc_inf_ctf_32788292_22"	"monocyte"	"2021-02-16"	"COVID-19 infected patients and age/sex-matched healthy controls (from Atlanta, Georgia)"	"23"	"94"	"years"	"31"	"Peripheral Blood Mononuclear Cells (PBMCs)"	"CL:2000001"	"flow cytometry of peripheral blood leukocytes ex vivo stimulated with viral cocktail (polyIC + R848)"	"TNF-alpha CD14+ monocytes"	""	"cell-type frequency"	"down"	"patients (N=14) vs healthy (N=17), in response to stimulation by viral cocktail (polyIC + R848)"	"time of clinical onset"	"various"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32788292"	"2020-08-11"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/"	"Fig S5."	"-Shows % of CD14+ monocytes producing cytokines. healthy: samples from asymptomatic adults before widespread SARS-CoV-2 circulation in the community. COVID-19 patients ""according to WHO guidance and positive SARS-CoV-2 RT-PCR testing by nasopharyn..."	"CL_0000576"	"(TNFA+)"	"PR:000000134"	"monocyte (TNFA+)"	"5"	"5"	"22"	"234"	"32788292_22_234"	"hipc_inf_ctf_sig_32788292_22.txt"
""	"hipc_inf_ctf_32788292_22"	"2020.08.14"	"hipc_inf_ctf_32788292_22"	"monocyte"	"2021-02-16"	"COVID-19 infected patients and age/sex-matched healthy controls (from Atlanta, Georgia)"	"23"	"94"	"years"	"31"	"Peripheral Blood Mononuclear Cells (PBMCs)"	"CL:2000001"	"flow cytometry of peripheral blood leukocytes ex vivo stimulated with viral cocktail (polyIC + R848)"	"IL-6 CD14+ monocytes"	""	"cell-type frequency"	"down"	"patients (N=14) vs healthy (N=17), in response to stimulation by viral cocktail (polyIC + R848)"	"time of clinical onset"	"various"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32788292"	"2020-08-11"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/"	"Fig S5."	"-Shows % of CD14+ monocytes producing cytokines. healthy: samples from asymptomatic adults before widespread SARS-CoV-2 circulation in the community. COVID-19 patients ""according to WHO guidance and positive SARS-CoV-2 RT-PCR testing by nasopharyn..."	"CL_0000576"	"(IL6+)"	"PR:000001393"	"monocyte (IL6+)"	"5"	"5"	"22"	"234"	"32788292_22_234"	"hipc_inf_ctf_sig_32788292_22.txt"
""	"hipc_inf_ctf_32788292_22"	"2020.08.14"	"hipc_inf_ctf_32788292_22"	"monocyte"	"2021-02-16"	"COVID-19 infected patients and age/sex-matched healthy controls (from Atlanta, Georgia)"	"23"	"94"	"years"	"31"	"Peripheral Blood Mononuclear Cells (PBMCs)"	"CL:2000001"	"flow cytometry of peripheral blood leukocytes ex vivo stimulated with viral cocktail (polyIC + R848)"	"IL-6+ TNF+ CD14+ monocytes"	""	"cell-type frequency"	"down"	"patients (N=14) vs healthy (N=17), in response to stimulation by viral cocktail (polyIC + R848)"	"time of clinical onset"	"various"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32788292"	"2020-08-11"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/"	"Fig S5."	"-Shows % of CD14+ monocytes producing cytokines. healthy: samples from asymptomatic adults before widespread SARS-CoV-2 circulation in the community. COVID-19 patients ""according to WHO guidance and positive SARS-CoV-2 RT-PCR testing by nasopharyn..."	"CL_0000576"	"(IL6+,TNFA+)"	"PR:000001393,PR:000000134"	"monocyte (IL6+,TNFA+)"	"5"	"5"	"22"	"234"	"32788292_22_234"	"hipc_inf_ctf_sig_32788292_22.txt"
""	"hipc_inf_ctf_32788292_22"	"2020.08.14"	"hipc_inf_ctf_32788292_22"	"monocyte"	"2021-02-16"	"COVID-19 infected patients and age/sex-matched healthy controls (from Atlanta, Georgia)"	"23"	"94"	"years"	"31"	"Peripheral Blood Mononuclear Cells (PBMCs)"	"CL:2000001"	"flow cytometry of peripheral blood leukocytes ex vivo stimulated with viral cocktail (polyIC + R848)"	"MCP-1 CD14+ monocytes"	""	"cell-type frequency"	"down"	"patients (N=14) vs healthy (N=17), in response to stimulation by viral cocktail (polyIC + R848)"	"time of clinical onset"	"various"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32788292"	"2020-08-11"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/"	"Fig S5."	"-Shows % of CD14+ monocytes producing cytokines. healthy: samples from asymptomatic adults before widespread SARS-CoV-2 circulation in the community. COVID-19 patients ""according to WHO guidance and positive SARS-CoV-2 RT-PCR testing by nasopharyn..."	"CL_0000576"	"(MCP1+)"	"PR:000002122"	"monocyte (MCP1+)"	"5"	"5"	"22"	"234"	"32788292_22_234"	"hipc_inf_ctf_sig_32788292_22.txt"
