""	"submission_name"	"submission_date"	"template_name"	"response_component"	"curation_date"	"cohort"	"age_min"	"age_max"	"age_units"	"number_subjects"	"tissue_type"	"tissue_type_term_id"	"method"	"response_component_original"	"is_model"	"response_behavior_type"	"response_behavior"	"comparison"	"baseline_time_event"	"time_point"	"time_point_units"	"exposure_material_id"	"exposure_process"	"disease_name"	"disease_stage"	"publication_reference_id"	"publication_date"	"publication_reference_url"	"signature_source"	"comments"	"response_component_id"	"proterm_and_extra"	"pro_ontology_id"	"fully_qualified_response_component"	"response_comp_orig_cnt"	"response_comp_cnt"	"sig_subm_id"	"sig_row_id"	"row_key"	"signature_file"
"subject"	""	""	""	""	""	""	""	""	""	""	""	"cell_subset"	""	""	""	""	""	""	""	""	""	"pathogen"	""	""	""	""	""	""	""	""	"cell_subset"	""	""	""	""	""	""	""	""	""
"evidence"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"file"
"role"	"background"	"background"	"background"	"observed"	"background"	"observed"	"observed"	"observed"	"observed"	"observed"	"background"	"tissue"	"background"	"observed"	"background"	"background"	"measured"	"background"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"observed"	"background"	"background"	"reference"	"background"	"background"	"cell_biomarker"	"observed"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"background"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"descriptive text on Dashboard"	"submission name"	"submission_date"	"template_name"	"response component name"	"curation date YYYY-MM-DD"	"cohort - any characteristics of the population(s) studied, plus whether the result was taken from a subgroup of the broader cohort tested"	"age_min - age of youngest subject including both cases and controls"	"age_max - age of oldest subject including both case and controls"	"age units"	"number of subjects - count of case plus control subjects used in the measurement."	"tissue type"	"tissue (Cell Ontology)"	"method - primary experimental method used to measure the response"	"response component (original curated cell type)"	"signature was derived from a computational model"	"response behavior type"	"response behavior (direction, correlation type etc.)"	"comparison (affected vs control, correlated variable, time vs baseline event etc.)"	"baseline time event"	"time point relative to baseline event at which response was measured"	"time point units"	"exposure material (NCBI taxid)"	"exposure process - method by which immune exposure  occurred"	"disease name"	"disease stage - reported disease stage(s) of affected subjects"	"publication reference (PMID)"	"print publication date or posted date (YYYY-MM-DD)"	"Lucas et al. (2020) Longitudinal analyses reveal immunological misfiring in severe COVID-19. Nature. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=32717743' target='_blank'>32717743</a>"	"signature source - figure, table or text section"	"comments and additional details"	"response component"	"response component protein ontology and extra terms"	"response component marker protein ontology ID"	"response component (fully qualified)"	"response component (original) count"	"response component count"	"sequential ID of signature within a publication (PMID) and for its response_type "	"row ID of signature within its submission data file(s)"	"row key"	"response component (cell types) file"
""	"hipc_inf_ctf_32717743_16"	"2020.07.28"	"hipc_inf_ctf_32717743_16"	"cd8-positive, alpha-beta cytotoxic t cell"	""	"New Haven, Connecticut"	"20"	"100"	"years"	"204"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD8 cells"	""	"cell-type frequency"	"down"	"moderate and severe COVID-19 patients vs healthy patients"	"time of symptom onset"	"0"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32717743"	"2020-07-27"	"https://www.nature.com/articles/s41586-020-2588-y"	"Extended Data Fig 2A"	"Moderate and severe defined in commments for Fig 1B of same publication. Measured as concentration of millions of cells per mL of blood."	"CL_0000794"	""	""	"cd8-positive, alpha-beta cytotoxic t cell"	"6"	"6"	"16"	"422"	"32717743_16_422"	"hipc_inf_ctf_sig_32717743_16.txt"
""	"hipc_inf_ctf_32717743_16"	"2020.07.28"	"hipc_inf_ctf_32717743_16"	"cd4-positive, alpha-beta memory t cell"	""	"New Haven, Connecticut"	"20"	"100"	"years"	"204"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"CD4 cells"	""	"cell-type frequency"	"down"	"moderate and severe COVID-19 patients vs healthy patients"	"time of symptom onset"	"0"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32717743"	"2020-07-27"	"https://www.nature.com/articles/s41586-020-2588-y"	"Extended Data Fig 2A"	"Moderate and severe defined in commments for Fig 1B of same publication. Measured as concentration of millions of cells per mL of blood."	"CL_0000897"	""	""	"cd4-positive, alpha-beta memory t cell"	"6"	"6"	"16"	"422"	"32717743_16_422"	"hipc_inf_ctf_sig_32717743_16.txt"
""	"hipc_inf_ctf_32717743_16"	"2020.07.28"	"hipc_inf_ctf_32717743_16"	"plasmacytoid dendritic cell, human"	""	"New Haven, Connecticut"	"20"	"100"	"years"	"204"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"plasmacytoid dendritic cells"	""	"cell-type frequency"	"down"	"moderate and severe COVID-19 patients vs healthy patients"	"time of symptom onset"	"0"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32717743"	"2020-07-27"	"https://www.nature.com/articles/s41586-020-2588-y"	"Extended Data Fig 2A"	"Moderate and severe defined in commments for Fig 1B of same publication. Measured as concentration of millions of cells per mL of blood."	"CL_0001058"	""	""	"plasmacytoid dendritic cell, human"	"6"	"6"	"16"	"422"	"32717743_16_422"	"hipc_inf_ctf_sig_32717743_16.txt"
""	"hipc_inf_ctf_32717743_16"	"2020.07.28"	"hipc_inf_ctf_32717743_16"	"conventional dendritic cell"	""	"New Haven, Connecticut"	"20"	"100"	"years"	"204"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"type 1 dendritic cells"	""	"cell-type frequency"	"down"	"moderate and severe COVID-19 patients vs healthy patients"	"time of symptom onset"	"0"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32717743"	"2020-07-27"	"https://www.nature.com/articles/s41586-020-2588-y"	"Extended Data Fig 2A"	"Moderate and severe defined in commments for Fig 1B of same publication. Measured as concentration of millions of cells per mL of blood."	"CL_0000990"	"(type 1)"	""	"conventional dendritic cell (type 1)"	"6"	"6"	"16"	"422"	"32717743_16_422"	"hipc_inf_ctf_sig_32717743_16.txt"
""	"hipc_inf_ctf_32717743_16"	"2020.07.28"	"hipc_inf_ctf_32717743_16"	"conventional dendritic cell"	""	"New Haven, Connecticut"	"20"	"100"	"years"	"204"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"type 2 dendritic cells"	""	"cell-type frequency"	"down"	"moderate and severe COVID-19 patients vs healthy patients"	"time of symptom onset"	"0"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32717743"	"2020-07-27"	"https://www.nature.com/articles/s41586-020-2588-y"	"Extended Data Fig 2A"	"Moderate and severe defined in commments for Fig 1B of same publication. Measured as concentration of millions of cells per mL of blood."	"CL_0000990"	"(type 2)"	""	"conventional dendritic cell (type 2)"	"6"	"6"	"16"	"422"	"32717743_16_422"	"hipc_inf_ctf_sig_32717743_16.txt"
""	"hipc_inf_ctf_32717743_16"	"2020.07.28"	"hipc_inf_ctf_32717743_16"	"mature nk t cell"	""	"New Haven, Connecticut"	"20"	"100"	"years"	"204"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"flow cytometry"	"natural killer T cells"	""	"cell-type frequency"	"down"	"moderate and severe COVID-19 patients vs healthy patients"	"time of symptom onset"	"0"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32717743"	"2020-07-27"	"https://www.nature.com/articles/s41586-020-2588-y"	"Extended Data Fig 2A"	"Moderate and severe defined in commments for Fig 1B of same publication. Measured as concentration of millions of cells per mL of blood."	"CL_0000814"	""	""	"mature nk t cell"	"6"	"6"	"16"	"422"	"32717743_16_422"	"hipc_inf_ctf_sig_32717743_16.txt"
